pres.abs,northing,easting,altitude,distance,NoOfPools,NoOfSites,avrain,meanmin,meanmax
1,115,1047,1500,500,232,3,155.0,3.56666666666667,14.0
1,110,1042,1520,250,66,5,157.66666669999998,3.46666666666667,13.8
1,112,1040,1540,250,32,5,159.66666669999998,3.4,13.6
1,109,1033,1590,250,9,5,165.0,3.2,13.166666666666698
1,109,1032,1590,250,67,5,165.0,3.2,13.166666666666698
1,106,1018,1600,500,12,4,167.33333330000002,3.13333333333333,13.066666666666698
1,105,1015,1600,250,30,3,167.33333330000002,3.1,13.066666666666698
1,84,1014,1560,750,13,2,165.0,3.3,13.4
1,88,1023,1560,250,4,3,164.0,3.3,13.433333333333302
1,91,1025,1560,250,14,4,164.0,3.3,13.433333333333302
1,105,1037,1580,500,9,5,164.33333330000002,3.2333333333333303,13.266666666666698
1,110,1047,1520,500,11,3,157.66666669999998,3.46666666666667,13.8
1,98,1019,1460,750,7,7,153.33333330000002,3.6666666666666696,14.3
1,91,1018,1510,250,16,5,159.0,3.5,13.8666666666667
1,89,1020,1520,250,10,5,160.33333330000002,3.46666666666667,13.766666666666698
1,198,1090,1320,500,24,4,129.0,4.1,15.7
1,197,1086,1320,500,8,2,129.3333333,4.1,15.7
1,190,1119,1300,500,6,5,127.0,4.23333333333333,15.833333333333302
1,194,1117,1300,250,19,5,126.33333329999999,4.23333333333333,15.8666666666667
1,192,1100,1320,250,20,6,129.3333333,4.13333333333333,15.7
1,191,1103,1320,250,10,6,129.3333333,4.13333333333333,15.7
1,200,1127,1320,500,2,3,128.3333333,4.13333333333333,15.7
1,192,1108,1320,500,20,7,129.0,4.13333333333333,15.7
1,187,1105,1300,250,34,6,127.33333329999999,4.23333333333333,15.833333333333302
1,187,1108,1300,250,6,5,127.0,4.23333333333333,15.833333333333302
1,204,1130,1340,500,3,1,129.6666667,4.1,15.5
1,195,1119,1300,250,14,6,126.33333329999999,4.23333333333333,15.8666666666667
1,136,1101,1300,250,9,3,131.0,4.33333333333333,15.766666666666698
1,133,1098,1300,250,8,3,131.3333333,4.33333333333333,15.766666666666698
1,201,1216,1400,750,11,2,134.66666669999998,4.06666666666667,14.933333333333302
1,198,1182,1480,3250,24,0,143.33333330000002,3.8,14.2
1,208,1222,1360,750,7,2,130.3333333,4.13333333333333,15.333333333333302
1,219,1155,1420,3250,13,0,136.66666669999998,3.9,14.766666666666698
1,214,1092,1480,1000,23,3,143.33333330000002,3.6,14.233333333333302
1,230,1094,1580,500,15,4,150.66666669999998,3.2,13.4
1,223,1072,1530,1000,23,1,147.33333330000002,3.3333333333333304,13.8
1,227,1082,1500,500,48,4,144.0,3.5,14.066666666666698
1,209,1066,1480,500,23,3,144.66666669999998,3.56666666666667,14.233333333333302
1,205,1063,1480,500,8,3,144.66666669999998,3.56666666666667,14.233333333333302
1,204,1061,1480,500,4,4,145.0,3.56666666666667,14.2
1,208,1070,1460,500,34,3,142.66666669999998,3.63333333333333,14.4
1,227,1085,1540,500,24,4,147.66666669999998,3.3333333333333304,13.733333333333302
1,217,1089,1490,500,80,4,144.0,3.56666666666667,14.1333333333333
1,213,1088,1480,500,42,4,144.0,3.56666666666667,14.233333333333302
1,182,1007,1480,1250,34,4,149.0,3.46666666666667,14.2
1,203,1053,1520,500,21,3,149.0,3.4,13.8666666666667
1,200,1050,1500,500,34,0,147.66666669999998,3.46666666666667,14.033333333333301
1,191,1039,1460,250,32,2,145.0,3.6,14.4
1,193,1037,1480,250,45,1,147.0,3.53333333333333,14.2
1,194,1035,1480,250,10,3,146.66666669999998,3.53333333333333,14.2
1,188,1017,1500,500,19,3,149.66666669999998,3.4,14.033333333333301
1,186,1020,1500,500,28,5,149.66666669999998,3.43333333333333,14.033333333333301
1,202,995,1600,750,110,3,157.66666669999998,2.96666666666667,13.166666666666698
1,203,1002,1540,750,43,3,152.0,3.2,13.666666666666698
1,229,1106,1480,1250,47,4,141.66666669999998,3.6,14.233333333333302
1,222,1119,1460,1500,6,3,140.66666669999998,3.7333333333333303,14.3666666666667
1,228,1092,1560,500,68,2,149.0,3.2666666666666697,13.533333333333301
1,209,1009,1600,750,24,0,156.33333330000002,2.96666666666667,13.166666666666698
1,233,1087,1560,750,11,5,148.33333330000002,3.2333333333333303,13.533333333333301
1,219,991,1600,500,25,4,155.33333330000002,2.93333333333333,13.166666666666698
1,217,1043,1600,250,96,4,154.66666669999998,3.0,13.2
1,217,1042,1600,250,75,3,154.66666669999998,3.0,13.2
1,217,1023,1620,2000,14,1,157.0,2.9,13.033333333333301
1,216,995,1600,500,52,4,156.0,2.93333333333333,13.166666666666698
1,188,955,1580,1750,12,2,158.33333330000002,2.96666666666667,13.3
1,226,981,1600,1250,8,3,154.66666669999998,2.86666666666667,13.166666666666698
1,272,1014,1700,2000,86,2,158.33333330000002,2.46666666666667,12.433333333333302
1,291,1008,1620,750,42,6,147.0,2.7666666666666697,13.1333333333333
1,288,1006,1620,750,32,2,148.0,2.7666666666666697,13.1333333333333
1,297,1032,1620,1750,5,5,146.66666669999998,2.7666666666666697,13.166666666666698
1,311,1009,1700,2000,108,3,153.66666669999998,2.4,12.466666666666699
1,312,1026,1700,500,40,4,153.0,2.43333333333333,12.5
1,313,1030,1680,500,60,3,150.66666669999998,2.5,12.666666666666698
1,303,916,1640,2500,13,3,147.33333330000002,2.5,12.933333333333302
1,312,891,1620,2500,24,1,143.0,2.53333333333333,13.1333333333333
1,285,821,1670,8000,89,2,154.0,2.3,12.533333333333301
0,297,897,1660,1500,32,2,150.33333330000002,2.4,12.7
0,297,802,1610,2250,18,5,143.0,2.46666666666667,13.166666666666698
0,208,972,1620,1250,36,2,159.33333330000002,2.8333333333333304,13.0
0,211,977,1620,1500,48,1,158.66666669999998,2.8333333333333304,13.0
0,302,809,1600,2000,12,2,140.33333330000002,2.46666666666667,13.266666666666698
0,290,809,1600,1250,12,6,142.66666669999998,2.46666666666667,13.266666666666698
0,300,812,1580,1750,14,3,138.0,2.56666666666667,13.466666666666699
0,328,1086,1490,5750,23,3,131.3333333,3.2666666666666697,14.333333333333302
0,170,935,1640,3750,67,1,167.66666669999998,2.7333333333333303,12.733333333333302
0,178,942,1520,2500,5,1,154.33333330000002,3.2,13.833333333333302
0,311,932,1600,2000,56,0,141.66666669999998,2.63333333333333,13.333333333333302
0,300,908,1640,750,27,4,147.33333330000002,2.5,12.9
0,310,886,1660,500,58,2,148.0,2.4,12.733333333333302
0,312,877,1700,1500,18,1,153.66666669999998,2.2,12.3666666666667
0,301,904,1650,1250,32,4,148.66666669999998,2.46666666666667,12.8
0,298,876,1730,2000,26,0,160.0,2.13333333333333,12.066666666666698
0,302,915,1640,2500,46,5,147.33333330000002,2.5,12.933333333333302
0,305,920,1650,500,62,2,148.33333330000002,2.5,12.833333333333302
0,106,1026,1560,250,22,4,162.66666669999998,3.3,13.466666666666699
0,299,900,1660,1500,22,3,150.33333330000002,2.4,12.7
0,297,1012,1650,750,34,7,149.33333330000002,2.63333333333333,12.8666666666667
0,298,1015,1650,1250,38,7,149.33333330000002,2.63333333333333,12.8666666666667
0,298,1010,1640,1000,16,6,148.33333330000002,2.6666666666666696,12.966666666666699
0,289,1006,1640,250,48,2,149.33333330000002,2.6666666666666696,12.966666666666699
0,299,1005,1610,750,12,4,145.33333330000002,2.7666666666666697,13.2
0,232,1142,1560,1750,28,2,147.66666669999998,3.36666666666667,13.533333333333301
0,302,1079,1600,4500,3,1,144.0,2.9,13.333333333333302
0,302,1084,1560,5250,2,2,140.33333330000002,3.06666666666667,13.666666666666698
0,308,1089,1580,5750,4,1,141.33333330000002,3.0,13.5
0,290,801,1510,1500,12,4,133.6666667,2.8,14.1
0,291,803,1520,1750,9,4,133.6666667,2.7666666666666697,14.0
0,289,801,1510,1750,3,3,133.6666667,2.8,14.1
0,283,818,1680,250,32,3,155.66666669999998,2.2666666666666697,12.433333333333302
0,281,832,1700,1250,21,2,158.66666669999998,2.2,12.266666666666698
0,283,831,1670,1000,62,3,154.0,2.3,12.566666666666698
0,285,825,1670,500,34,4,154.0,2.3,12.533333333333301
0,289,1033,1540,750,19,2,140.33333330000002,3.06666666666667,13.8
0,305,1042,1590,1250,8,4,142.66666669999998,2.86666666666667,13.4
0,303,1043,1600,1250,3,4,144.0,2.86666666666667,13.3
0,309,1045,1570,1500,6,2,140.66666669999998,2.96666666666667,13.6
0,298,1042,1580,1250,62,6,142.33333330000002,2.96666666666667,13.5
0,227,986,1610,2500,10,3,155.33333330000002,2.86666666666667,13.1
0,219,717,1620,12000,32,0,164.0,2.46666666666667,12.833333333333302
0,332,1092,1490,6500,4,4,131.0,3.2666666666666697,14.333333333333302
0,335,1098,1490,7000,3,3,130.6666667,3.2666666666666697,14.333333333333302
0,330,1090,1500,6250,22,4,131.6666667,3.2333333333333303,14.233333333333302
0,333,1096,1490,6750,6,4,130.6666667,3.2666666666666697,14.333333333333302
0,199,1003,1600,500,32,4,157.66666669999998,2.96666666666667,13.166666666666698
0,238,1142,1560,2750,7,1,147.0,3.3333333333333304,13.533333333333301
0,240,1139,1540,2250,5,2,145.33333330000002,3.4,13.733333333333302
0,263,786,1600,4000,11,1,148.66666669999998,2.5,13.166666666666698
0,256,775,1510,5250,3,1,141.66666669999998,2.8,14.0
0,186,1096,1320,500,11,4,130.0,4.13333333333333,15.7
0,192,1112,1290,500,28,8,125.66666670000001,4.23333333333333,15.933333333333302
0,197,1121,1290,500,4,6,124.66666670000001,4.23333333333333,15.933333333333302
0,186,1125,1300,750,12,3,127.0,4.23333333333333,15.833333333333302
0,195,1124,1300,250,15,6,126.0,4.23333333333333,15.8666666666667
0,184,1131,1290,1700,25,1,126.0,4.3,15.933333333333302
0,198,1093,1320,250,16,4,129.0,4.1,15.7
0,296,740,1540,8000,40,1,132.3333333,2.6,13.8
0,280,730,1640,9000,16,4,151.66666669999998,2.2666666666666697,12.733333333333302
0,145,945,1400,4500,5,0,147.33333330000002,3.7333333333333303,14.8666666666667
0,154,954,1380,3500,23,1,144.0,3.7333333333333303,15.066666666666698
0,163,955,1400,250,22,1,145.33333330000002,3.7,14.9
0,199,977,1580,1750,12,1,156.66666669999998,3.0,13.333333333333302
0,201,988,1560,750,32,1,154.33333330000002,3.1,13.466666666666699
1,244,998,1670,2500,6,1,159.0,2.63333333333333,12.6333333333333
0,196,937,1780,2000,53,0,180.66666669999998,2.1666666666666696,11.6
0,227,1107,1570,250,12,0,149.66666669999998,3.2666666666666697,13.466666666666699
0,238,1113,1600,1250,22,4,151.0,3.1,13.233333333333302
0,243,1112,1600,1500,3,4,150.66666669999998,3.1,13.233333333333302
0,243,1109,1570,1500,1,3,148.0,3.2,13.533333333333301
0,239,1110,1610,1000,5,5,151.66666669999998,3.1,13.2
0,238,1118,1560,1750,8,3,147.66666669999998,3.3,13.533333333333301
0,195,947,1680,1000,32,1,168.66666669999998,2.56666666666667,12.433333333333302
0,244,824,1760,4000,9,0,176.0,2.06666666666667,11.7
0,286,730,1660,9000,6,3,153.33333330000002,2.2333333333333303,12.566666666666698
0,282,718,1700,10000,4,0,160.33333330000002,2.06666666666667,12.1333333333333
0,261,729,1600,9500,5,1,150.33333330000002,2.46666666666667,13.1
0,285,735,1600,8500,26,3,144.0,2.4,13.166666666666698
0,128,1075,1300,2500,9,0,132.0,4.26666666666667,15.766666666666698
0,301,1031,1620,500,52,5,145.66666669999998,2.7666666666666697,13.166666666666698
0,299,1021,1700,1750,82,6,155.0,2.43333333333333,12.466666666666699
0,304,1022,1700,1000,100,7,154.0,2.43333333333333,12.466666666666699
0,305,1014,1660,750,6,10,149.66666669999998,2.56666666666667,12.8
0,313,1015,1710,750,8,4,154.0,2.4,12.4
0,295,1034,1610,250,27,6,145.66666669999998,2.8333333333333304,13.2
0,316,1022,1690,500,43,4,151.33333330000002,2.43333333333333,12.566666666666698
0,301,1012,1620,1000,18,8,145.66666669999998,2.7333333333333303,13.166666666666698
0,308,1024,1710,500,52,7,155.0,2.4,12.4
0,223,1043,1600,500,20,4,154.0,3.0,13.2
0,221,1034,1700,750,40,3,164.66666669999998,2.6,12.3666666666667
0,165,1065,1290,3750,10,2,129.0,4.23333333333333,15.9
0,143,1045,1300,2750,17,1,132.3333333,4.2,15.8
0,159,1045,1330,3250,7,2,134.66666669999998,4.1,15.533333333333301
0,152,1043,1320,3750,14,3,134.0,4.1,15.6
0,155,1047,1350,3750,2,2,137.0,4.0,15.333333333333302
0,217,1017,1600,1250,21,1,155.0,2.96666666666667,13.166666666666698
0,180,958,1580,1250,4,1,159.66666669999998,3.0,13.3
0,187,1024,1480,250,42,4,148.0,3.5,14.2
0,192,1026,1480,750,36,5,147.33333330000002,3.5,14.2
0,212,1093,1480,250,32,3,144.0,3.6,14.233333333333302
0,263,1012,1640,1000,4,2,153.33333330000002,2.7333333333333303,12.933333333333302
0,207,707,1640,14000,46,0,171.33333330000002,2.36666666666667,12.6
0,185,673,1720,18000,12,0,198.33333330000002,2.1,11.733333333333302
1,104,1016,1600,250,6,3,167.33333330000002,3.13333333333333,13.066666666666698
1,203,962,1680,1500,42,0,166.66666669999998,2.56666666666667,12.466666666666699
0,136,1097,1300,500,6,3,131.0,4.26666666666667,15.766666666666698
0,208,1219,1350,750,21,2,129.0,4.13333333333333,15.433333333333302
0,126,1120,1500,2000,6,1,151.66666669999998,3.6666666666666696,13.966666666666699
0,132,1130,1520,2750,4,1,153.0,3.63333333333333,13.833333333333302
0,317,998,1700,1500,8,0,152.66666669999998,2.4,12.466666666666699
0,304,988,1660,2000,24,1,149.66666669999998,2.53333333333333,12.766666666666698
0,295,984,1680,2500,34,2,153.0,2.46666666666667,12.6333333333333
0,289,990,1700,1750,42,2,156.33333330000002,2.4,12.433333333333302
0,280,985,1800,2250,112,1,170.0,2.03333333333333,11.6
0,270,978,1790,3250,26,0,170.0,2.06666666666667,11.6333333333333
0,268,995,1720,2000,22,1,161.66666669999998,2.3333333333333304,12.233333333333302
0,273,1002,1760,1000,18,2,165.66666669999998,2.2333333333333303,11.9
0,119,1003,1600,500,6,3,166.66666669999998,3.1,13.066666666666698
0,132,1092,1280,750,5,3,129.0,4.33333333333333,15.966666666666699
0,217,1017,1600,750,23,4,155.0,2.96666666666667,13.166666666666698
0,228,984,1600,750,4,3,154.33333330000002,2.86666666666667,13.166666666666698
0,246,1000,1600,500,3,1,151.66666669999998,2.86666666666667,13.266666666666698
0,226,968,1600,1500,6,0,155.0,2.86666666666667,13.166666666666698
0,212,998,1600,750,16,5,156.33333330000002,2.96666666666667,13.166666666666698
0,220,1051,1580,1000,3,2,152.33333330000002,3.1,13.3666666666667
0,224,988,1610,750,12,5,155.66666669999998,2.86666666666667,13.1
0,255,1008,1620,1500,8,2,152.33333330000002,2.8333333333333304,13.066666666666698
0,289,1033,1640,2000,4,0,149.33333330000002,2.7333333333333303,12.966666666666699
0,295,1046,1580,1500,6,2,143.33333330000002,2.96666666666667,13.5
0,143,1047,1300,3000,4,0,132.3333333,4.2,15.8
0,299,730,1580,8000,16,0,138.0,2.43333333333333,13.4
0,287,730,1640,9000,8,3,150.33333330000002,2.2666666666666697,12.766666666666698
0,269,729,1660,9500,30,1,157.0,2.2666666666666697,12.533333333333301
0,186,1108,1440,2750,8,0,142.33333330000002,3.7666666666666697,14.533333333333301
